"","point_estimate_rub","LB_rub","UB_rub","UB","LB","point_estimate"
"6357",1.13407921061585,-0.438264909839216,2.70642333107092,2.52136973501233,0.79169200129991,1.6407846893894
"6358",2.42633459989623,1.76588588466929,3.08678331512316,2.75248250061141,1.96157117663673,2.35166130590882
"6359",1.71037426448891,-1.06118731256516,4.48193584154297,3.22814424553907,1.39876259967507,2.34014668735771
"6360",1.75086511160461,1.12410267196764,2.37762755124157,2.3627313259382,1.48021466022408,1.92433967943726
"6361",2.26456447339156,1.61454332692348,2.91458561985965,2.58398880079166,1.73429155865248,2.21160257138449
"6362",0.461833954670055,-0.878501680929537,1.80216959026965,1.91390202562062,0.449240065459779,1.19651152931772
"6363",2.13293397374162,0.984417035595328,3.28145091188791,2.68441849183261,1.46764226979582,2.15442107054569
"6364",2.20657856256957,1.48670851301061,2.92644861212852,2.77675805130557,1.89278318182227,2.30986626086258
"6365",2.0744769561032,0.914036637149511,3.23491727505688,2.7379048748339,1.42119374603816,2.12867034711079
"6366",1.55893854903316,0.852535047302503,2.26534205076381,2.16431328584316,1.21562886757057,1.74269413352453
"6367",1.85239263029768,0.788368717262231,2.91641654333312,2.39608404613729,1.57299005744449,2.00186623638789
"6368",0.252331107540128,-1.37546952142794,1.8801317365082,1.81652922971649,-0.728989527482905,0.451020695793346
"6369",1.34626696858753,0.106917418396006,2.58561651877905,2.14586063498014,1.23257314921664,1.70976602600109
"6370",2.57511279746118,1.23183283077853,3.91839276414383,3.66312141254959,2.11705248937326,2.78221987401462
"6371",1.64589336780265,0.901233231125058,2.39055350448025,2.16658498647061,1.52855267452364,1.89647636846475
"6372",1.89487498236312,0.792098229591891,2.99765173513434,2.59710196298414,1.64954918489995,2.10088802219188
"6373",2.60262939623144,1.67967443025351,3.52558436220937,2.81859944725553,1.78914391521348,2.33931108980335
"6374",0.68795525515225,-1.22123558601,2.5971460963145,2.46873228856088,0.710011226096523,1.55712805318539
"6375",1.84917337973991,0.375631993796215,3.3227147656836,2.46769879251264,1.12150051282523,1.84301873682884
"6376",1.90489198282243,0.735007386272761,3.0747765793721,2.55653857050486,1.52641599219048,2.07813185277226
"6377",2.10822725350331,0.478561168064131,3.7378933389425,2.72171246790107,1.64070697384382,2.17391008716379
"6378",2.20211423481914,0.91636056281886,3.48786790681943,2.93354063626106,1.67416402146416,2.38427465923083
"6379",1.20796933641703,0.277710755789756,2.1382279170443,1.9645937960486,0.827794685300082,1.41650966986409
